price,address,features,is_active,url
574900,"6 S Laflin St APT 911S, Chicago, IL 60607","2 bds, 2 ba, 1,700 sqft",Active,https://www.zillow.com/homedetails/6-S-Laflin-St-APT-911S-Chicago-IL-60607/80845278_zpid/
325000,"111 S Morgan St APT 806, Chicago, IL 60607","1 bd, 1 ba, 680 sqft",Active,https://www.zillow.com/homedetails/111-S-Morgan-St-APT-806-Chicago-IL-60607/65551890_zpid/
1149999,"1229 W Madison St UNIT Q, Chicago, IL 60607","4 bds, 4 ba, 2,800 sqft",Active,https://www.zillow.com/homedetails/1229-W-Madison-St-UNIT-Q-Chicago-IL-60607/58368973_zpid/
2499900,"305 S Racine Ave PENTHOUSE D, Chicago, IL 60607","4 bds, 4 ba, 3,157 sqft",Active,https://www.zillow.com/homedetails/305-S-Racine-Ave-PENTHOUSE-D-Chicago-IL-60607/2078608547_zpid/
2400000,"118 N Willard Ct PENTHOUSE 2, Chicago, IL 60607","4 bds, 3 ba, -- sqft",Active,https://www.zillow.com/homedetails/118-N-Willard-Ct-PENTHOUSE-2-Chicago-IL-60607/2053890059_zpid/
610000,"1022 S Racine Ave APT 301, Chicago, IL 60607","3 bds, 2 ba, 2,300 sqft",Active,https://www.zillow.com/homedetails/1022-S-Racine-Ave-APT-301-Chicago-IL-60607/87716964_zpid/
870000,"1000 W Washington Blvd UNIT 438, Chicago, IL 60607","2 bds, 3 ba, 2,400 sqft",Active,https://www.zillow.com/homedetails/1000-W-Washington-Blvd-UNIT-438-Chicago-IL-60607/54537659_zpid/
1150000,"1100 W Adams St UNIT 4S, Chicago, IL 60607","3 bds, 3 ba, 1,985 sqft",Active,https://www.zillow.com/homedetails/1100-W-Adams-St-UNIT-4S-Chicago-IL-60607/159464661_zpid/
620000,"125 S Green St APT 403A, Chicago, IL 60607","2 bds, 2 ba, 1,300 sqft",Active,https://www.zillow.com/homedetails/125-S-Green-St-APT-403A-Chicago-IL-60607/101255068_zpid/
1099000,"111 S Morgan St APT 906, Chicago, IL 60607","3 bds, 3 ba, 2,750 sqft",Active,https://www.zillow.com/homedetails/111-S-Morgan-St-APT-906-Chicago-IL-60607/65571504_zpid/
1875000,"116 N Aberdeen St, Chicago, IL 60607","2,900 sqft lot ",Active,https://www.zillow.com/homedetails/116-N-Aberdeen-St-Chicago-IL-60607/2099630432_zpid/
430000,"701 S Wells St APT 3201, Chicago, IL 60607","2 bds, 2 ba, 1,300 sqft",Active,https://www.zillow.com/homedetails/701-S-Wells-St-APT-3201-Chicago-IL-60607/65545360_zpid/
1147999,"1132 W Adams St UNIT 5W, Chicago, IL 60607","3 bds, 3 ba, 2,100 sqft",Active,https://www.zillow.com/homedetails/1132-W-Adams-St-UNIT-5W-Chicago-IL-60607/159468809_zpid/
2500000,"118 N Willard Ct #301, Chicago, IL 60607","5 bds, 4 ba, -- sqft",Active,https://www.zillow.com/homedetails/118-N-Willard-Ct-301-Chicago-IL-60607/2053866113_zpid/
430000,"701 S Wells St APT 1608, Chicago, IL 60607","2 bds, 2 ba, 1,200 sqft",Active,https://www.zillow.com/homedetails/701-S-Wells-St-APT-1608-Chicago-IL-60607/65545353_zpid/
464900,"701 S Wells St APT 3306, Chicago, IL 60607","2 bds, 3 ba, 1,324 sqft",Active,https://www.zillow.com/homedetails/701-S-Wells-St-APT-3306-Chicago-IL-60607/63702904_zpid/
1090000,"933 W Van Buren St APT 912, Chicago, IL 60607","3 bds, 3 ba, 2,000 sqft",Active,https://www.zillow.com/homedetails/933-W-Van-Buren-St-APT-912-Chicago-IL-60607/65571826_zpid/
989000,"15 S Racine Ave APT 4S, Chicago, IL 60607","3 bds, 2 ba, -- sqft",Active,https://www.zillow.com/homedetails/15-S-Racine-Ave-APT-4S-Chicago-IL-60607/113964166_zpid/
599000,"1039 S Lytle St APT 302, Chicago, IL 60607","3 bds, 2 ba, -- sqft",Active,https://www.zillow.com/homedetails/1039-S-Lytle-St-APT-302-Chicago-IL-60607/87718234_zpid/
749000,"234 W Polk St #2610, Chicago, IL 60607","2 bds, 2 ba, -- sqft",Active,https://www.zillow.com/homedetails/234-W-Polk-St-2610-Chicago-IL-60607/2053652730_zpid/
495000,"234 W Polk St #2407, Chicago, IL 60607","1 bd, 2 ba, 760 sqft",Active,https://www.zillow.com/homedetails/234-W-Polk-St-2407-Chicago-IL-60607/342776336_zpid/
499000,"1834 S Racine Ave, Chicago, IL 60608","7 bds, 3 ba, -- sqft",New,https://www.zillow.com/homedetails/1834-S-Racine-Ave-Chicago-IL-60608/2076634375_zpid/
650000,"1638 W 18th St, Chicago, IL 60608","7 bds, 4 ba, -- sqft",New,https://www.zillow.com/homedetails/1638-W-18th-St-Chicago-IL-60608/119094535_zpid/
215000,"2022 W 23rd St, Chicago, IL 60608","4 bds, 2 ba, -- sqft",Active,https://www.zillow.com/homedetails/2022-W-23rd-St-Chicago-IL-60608/2144007963_zpid/
814000,"2313 S Seeley Ave, Chicago, IL 60608","8 bds, 4 ba, -- sqft",New,https://www.zillow.com/homedetails/2313-S-Seeley-Ave-Chicago-IL-60608/158882723_zpid/
359999,"1001 W 15th St #347, Chicago, IL 60608","3 bds, 2 ba, 1,232 sqft",New,https://www.zillow.com/homedetails/1001-W-15th-St-347-Chicago-IL-60608/87697598_zpid/
359999,"1070 W 15th St #232, Chicago, IL 60608","2 bds, 2 ba, 1,144 sqft",New,https://www.zillow.com/homedetails/1070-W-15th-St-232-Chicago-IL-60608/80829845_zpid/
475000,"1437 W 16th St, Chicago, IL 60608","4 bds, 2 ba, -- sqft",New,https://www.zillow.com/homedetails/1437-W-16th-St-Chicago-IL-60608/2066595525_zpid/
475000,"838 W 34th St, Chicago, IL 60608","5 bds, 2 ba, -- sqft",Active,https://www.zillow.com/homedetails/838-W-34th-St-Chicago-IL-60608/2096183554_zpid/
259999,"1033 W 14th Pl UNIT 136, Chicago, IL 60608","1 bd, 1 ba, 870 sqft",New,https://www.zillow.com/homedetails/1033-W-14th-Pl-UNIT-136-Chicago-IL-60608/87714391_zpid/
425000,"2322 S Hoyne Ave, Chicago, IL 60608","3 bds, 2 ba, -- sqft",Active,https://www.zillow.com/homedetails/2322-S-Hoyne-Ave-Chicago-IL-60608/3878982_zpid/
799000,"3402 S Carpenter St, Chicago, IL 60608","4 bds, 4 ba, 3,000 sqft",Coming soon,https://www.zillow.com/homedetails/3402-S-Carpenter-St-Chicago-IL-60608/3880996_zpid/
650000,"954 W 18th Pl, Chicago, IL 60608","4 bds, 2 ba, 2,000 sqft",Active,https://www.zillow.com/homedetails/954-W-18th-Pl-Chicago-IL-60608/3875509_zpid/
415000,"1336 W Cullerton St, Chicago, IL 60608","4 bds, 2 ba, -- sqft",Active,https://www.zillow.com/homedetails/1336-W-Cullerton-St-Chicago-IL-60608/2070773400_zpid/
974900,"1823 S Laflin St, Chicago, IL 60608","4 bds, 4 ba, 2,875 sqft",Price Change,https://www.zillow.com/homedetails/1823-S-Laflin-St-Chicago-IL-60608/119094489_zpid/
250000,"1033 W 14th Pl UNIT 216, Chicago, IL 60608","1 bd, 1 ba, 820 sqft",New,https://www.zillow.com/homedetails/1033-W-14th-Pl-UNIT-216-Chicago-IL-60608/80840505_zpid/
224900,"1649 W 21st St #1B, Chicago, IL 60608","3 bds, 1 ba, -- sqft",New,https://www.zillow.com/homedetails/1649-W-21st-St-1B-Chicago-IL-60608/58369284_zpid/
369900,"1713 W 18th Pl, Chicago, IL 60608","4 bds, 2 ba, -- sqft",Active,https://www.zillow.com/homedetails/1713-W-18th-Pl-Chicago-IL-60608/3875225_zpid/
345000,"3325 S Lituanica Ave, Chicago, IL 60608","4 bds, 2 ba, 2,100 sqft",Price Change,https://www.zillow.com/homedetails/3325-S-Lituanica-Ave-Chicago-IL-60608/3881047_zpid/
215000,"1550 S Blue Island Ave UNIT 908, Chicago, IL 60608","1 bd, 1 ba, 794 sqft",Active,https://www.zillow.com/homedetails/1550-S-Blue-Island-Ave-UNIT-908-Chicago-IL-60608/89879913_zpid/
529000,"1817 S Ashland Ave, Chicago, IL 60608","8 bds, 8 ba, -- sqft",activated,https://www.zillow.com/homedetails/1817-S-Ashland-Ave-Chicago-IL-60608/2089925453_zpid/
399000,"1110 W 15th St UNIT 409, Chicago, IL 60608","2 bds, 2 ba, 1,217 sqft",New,https://www.zillow.com/homedetails/1110-W-15th-St-UNIT-409-Chicago-IL-60608/101212614_zpid/
615000,"3342 S Aberdeen St, Chicago, IL 60608","7 bds, 4 ba, -- sqft",New,https://www.zillow.com/homedetails/3342-S-Aberdeen-St-Chicago-IL-60608/2090500891_zpid/
699000,"1209 W 33rd St, Chicago, IL 60608","3 bds, 3 ba, 2,048 sqft",Active,https://www.zillow.com/homedetails/1209-W-33rd-St-Chicago-IL-60608/70476412_zpid/
730000,"844 W 15th Pl, Chicago, IL 60608","3 bds, 3 ba, 2,683 sqft",New,https://www.zillow.com/homedetails/844-W-15th-Pl-Chicago-IL-60608/65547946_zpid/
698000,"2569 S Hillock Ave, Chicago, IL 60608","5 bds, 4 ba, 3,000 sqft",Active,https://www.zillow.com/homedetails/2569-S-Hillock-Ave-Chicago-IL-60608/2081051024_zpid/
255000,"2453 S Western Ave UNIT 3N, Chicago, IL 60608","2 bds, 2 ba, 1,167 sqft",New,https://www.zillow.com/homedetails/2453-S-Western-Ave-UNIT-3N-Chicago-IL-60608/99347504_zpid/
869900,"2700 W 24th Pl, Chicago, IL 60608","10 bds, 5 ba, -- sqft",New,https://www.zillow.com/homedetails/2700-W-24th-Pl-Chicago-IL-60608/2068420864_zpid/
549000,"3457 S Lituanica Ave, Chicago, IL 60608","5 bds, 2 ba, -- sqft",Active,https://www.zillow.com/homedetails/3457-S-Lituanica-Ave-Chicago-IL-60608/3881138_zpid/
649900,"3122 S Benson St #4, Chicago, IL 60608","3 bds, 4 ba, 2,000 sqft",New,https://www.zillow.com/homedetails/3122-S-Benson-St-4-Chicago-IL-60608/2055538246_zpid/
599900,"2918 S Hillock St, Chicago, IL 60608","3 bds, 4 ba, 2,200 sqft",Active,https://www.zillow.com/homedetails/2918-S-Hillock-St-Chicago-IL-60608/2053955854_zpid/
324900,"3044 S Gratten Ave, Chicago, IL 60608","2 bds, 1 ba, 965 sqft",Active,https://www.zillow.com/homedetails/3044-S-Gratten-Ave-Chicago-IL-60608/3878670_zpid/
1250000,"1845 W 21st Pl, Chicago, IL 60608","9 bds, 6 ba, -- sqft",New,https://www.zillow.com/homedetails/1845-W-21st-Pl-Chicago-IL-60608/2087900767_zpid/
670000,"1414 W 17th St, Chicago, IL 60608","11 bds, 5 ba, -- sqft",Active,https://www.zillow.com/homedetails/1414-W-17th-St-Chicago-IL-60608/339901748_zpid/
390000,"1151 W 14th Pl UNIT 404, Chicago, IL 60608","2 bds, 2 ba, 1,264 sqft",Price Change,https://www.zillow.com/homedetails/1151-W-14th-Pl-UNIT-404-Chicago-IL-60608/2124464475_zpid/
559999,"1749 W 19th St, Chicago, IL 60608","7 bds, 3 ba, -- sqft",New,https://www.zillow.com/homedetails/1749-W-19th-St-Chicago-IL-60608/2092122104_zpid/
610000,"1707 S Newberry Ave, Chicago, IL 60608","3 bds, 3 ba, -- sqft",Active,https://www.zillow.com/homedetails/1707-S-Newberry-Ave-Chicago-IL-60608/3875481_zpid/
349000,"2942 S Lyman St, Chicago, IL 60608","4 bds, 2 ba, 2,350 sqft",Active,https://www.zillow.com/homedetails/2942-S-Lyman-St-Chicago-IL-60608/3878525_zpid/
399900,"1071 W 15th St UNIT 211, Chicago, IL 60608","2 bds, 2 ba, 1,226 sqft",Active,https://www.zillow.com/homedetails/1071-W-15th-St-UNIT-211-Chicago-IL-60608/87717321_zpid/
210000,"3409 S Lituanica Ave, Chicago, IL 60608","3 bds, 2 ba, -- sqft",Active,https://www.zillow.com/homedetails/3409-S-Lituanica-Ave-Chicago-IL-60608/3881097_zpid/
324900,"1626 W 33rd St, Chicago, IL 60608","4 bds, 2 ba, 3,250 sqft",Active,https://www.zillow.com/homedetails/1626-W-33rd-St-Chicago-IL-60608/3879662_zpid/
484900,"3311 S Leavitt St, Chicago, IL 60608","5 bds, 4 ba, 3,433 sqft",New,https://www.zillow.com/homedetails/3311-S-Leavitt-St-Chicago-IL-60608/345331689_zpid/
214000,"1550 S Blue Island Ave UNIT 912, Chicago, IL 60608","1 bd, 1 ba, 860 sqft",activated,https://www.zillow.com/homedetails/1550-S-Blue-Island-Ave-UNIT-912-Chicago-IL-60608/89973632_zpid/
745000,"2933 S Lyman St, Chicago, IL 60608","5 bds, 4 ba, 2,850 sqft",Active,https://www.zillow.com/homedetails/2933-S-Lyman-St-Chicago-IL-60608/2056342144_zpid/
899900,"2954 S Loomis St, Chicago, IL 60608","6 bds, 2 ba, -- sqft",Active,https://www.zillow.com/homedetails/2954-S-Loomis-St-Chicago-IL-60608/3878368_zpid/
200000,"3450 S Halsted St UNIT 207, Chicago, IL 60608","1 bd, 1 ba, -- sqft",Active,https://www.zillow.com/homedetails/3450-S-Halsted-St-UNIT-207-Chicago-IL-60608/89941834_zpid/
259000,"3450 S Halsted St #507, Chicago, IL 60608","1 bd, 1 ba, 931 sqft",Active,https://www.zillow.com/homedetails/3450-S-Halsted-St-507-Chicago-IL-60608/89910468_zpid/
375000,"1530 W 18th Pl, Chicago, IL 60608","6 bds, 6 ba, -- sqft",Active,https://www.zillow.com/homedetails/1530-W-18th-Pl-Chicago-IL-60608/2068834587_zpid/
468800,"3307 S Leavitt St, Chicago, IL 60608","7 bds, 2 ba, 1,800 sqft",Active,https://www.zillow.com/homedetails/3307-S-Leavitt-St-Chicago-IL-60608/3879372_zpid/
